date,call_level_lower,call_level_upper,future_contract_num
2021-11-01,"27,000","27,099",429 [-252]
2021-11-01,"26,900","26,999",167 [-20]
2021-11-01,"26,800","26,899",117 [-29]
2021-11-01,"26,700","26,799",88 [-16]
2021-11-01,"26,600","26,699",480 [-72]
2021-11-01,"26,500","26,599",687 [-218]
2021-11-01,"26,400","26,499",604 [-184]
2021-11-01,"26,300","26,399",405 [-122]
2021-11-01,"26,200","26,299",428 [-113]
2021-11-01,"26,100","26,199",440 [-149]
2021-11-01,"26,000","26,099","1,156 [+53]"
2021-11-01,"25,900","25,999",39 [+39]
2021-11-01,"25,800","25,899",33 [+33]
2021-11-01,"25,700","25,799",35 [+35]
2021-11-01,"25,629","25,699",616 [+616]
2021-11-01,"24,900","24,962",421 [+22]
2021-11-01,"24,800","24,899",709 [+136]
2021-11-01,"24,700","24,799",640 [+400]
2021-11-01,"24,600","24,699",426 [+314]
2021-11-01,"24,500","24,599",634 [+335]
2021-11-01,"24,400","24,499",139 [+75]
2021-11-01,"24,300","24,399",162 [+27]
2021-11-01,"24,200","24,299",381 [+118]
2021-11-01,"24,100","24,199",131 [+21]
2021-11-01,"24,000","24,099",453 [+69]
2021-11-01,"23,900","23,999",74 [+5]
2021-11-01,"23,800","23,899",83 [+18]
2021-11-01,"23,700","23,799",8 [+2]
2021-11-01,"23,600","23,699",288 [+13]
2021-11-01,"23,500","23,599",953 [+80]
2021-10-29,"27,400","27,499",26 [-19]
2021-10-29,"27,300","27,399",55 [-31]
2021-10-29,"27,200","27,299",108 [-61]
2021-10-29,"27,100","27,199",81 [-15]
2021-10-29,"27,000","27,099",681 [-109]
2021-10-29,"26,900","26,999",187 [-38]
2021-10-29,"26,800","26,899",146 [-24]
2021-10-29,"26,700","26,799",104 [-29]
2021-10-29,"26,600","26,699",552 [-108]
2021-10-29,"26,500","26,599",905 [-196]
2021-10-29,"26,400","26,499",788 [-39]
2021-10-29,"26,300","26,399",527 [-103]
2021-10-29,"26,200","26,299",541 [-148]
2021-10-29,"26,100","26,199",589 [+28]
2021-10-29,"26,018","26,099","1,103 [+495]"
2021-10-29,"25,300","25,308",409 [-432]
2021-10-29,"25,200","25,299",372 [+68]
2021-10-29,"25,100","25,199",740 [-379]
2021-10-29,"25,000","25,099",433 [+216]
2021-10-29,"24,900","24,999",399 [+139]
2021-10-29,"24,800","24,899",573 [+142]
2021-10-29,"24,700","24,799",240 [+58]
2021-10-29,"24,600","24,699",112 [+11]
2021-10-29,"24,500","24,599",299 [+55]
2021-10-29,"24,400","24,499",64 [+26]
2021-10-29,"24,300","24,399",136 [+17]
2021-10-29,"24,200","24,299",263 [+26]
2021-10-29,"24,100","24,199",110 [+20]
2021-10-29,"24,000","24,099",384 [+89]
2021-10-29,"23,900","23,999",69 [+15]
2021-10-28,"27,400","27,499",46 [-15]
2021-10-28,"27,300","27,399",86 [-27]
2021-10-28,"27,200","27,299",169 [-34]
2021-10-28,"27,100","27,199",97 [-25]
2021-10-28,"27,000","27,099",790 [-101]
2021-10-28,"26,900","26,999",226 [-30]
2021-10-28,"26,800","26,899",170 [-50]
2021-10-28,"26,700","26,799",132 [-37]
2021-10-28,"26,600","26,699",659 [-234]
2021-10-28,"26,500","26,599","1,101 [-115]"
2021-10-28,"26,400","26,499",827 [+1]
2021-10-28,"26,300","26,399",630 [-8]
2021-10-28,"26,200","26,299",689 [+79]
2021-10-28,"26,100","26,199",561 [+201]
2021-10-28,"26,018","26,099",608 [+440]
2021-10-28,"25,400","25,460",296 [-133]
2021-10-28,"25,300","25,399",841 [-103]
2021-10-28,"25,200","25,299",304 [-12]
2021-10-28,"25,100","25,199","1,118 [+121]"
2021-10-28,"25,000","25,099",218 [+18]
2021-10-28,"24,900","24,999",260 [+28]
2021-10-28,"24,800","24,899",431 [-19]
2021-10-28,"24,700","24,799",182 [+35]
2021-10-28,"24,600","24,699",102 [+3]
2021-10-28,"24,500","24,599",244 [+31]
2021-10-28,"24,400","24,499",38 [+8]
2021-10-28,"24,300","24,399",119 [-12]
2021-10-28,"24,200","24,299",237 [+2]
2021-10-28,"24,100","24,199",90 [+1]
2021-10-28,"24,000","24,099",294 [+9]
2021-10-27,"27,400","27,499",61 [-21]
2021-10-27,"27,300","27,399",113 [-19]
2021-10-27,"27,200","27,299",202 [-77]
2021-10-27,"27,100","27,199",121 [-52]
2021-10-27,"27,000","27,099",892 [-34]
2021-10-27,"26,900","26,999",256 [-62]
2021-10-27,"26,800","26,899",220 [-85]
2021-10-27,"26,700","26,799",169 [-143]
